TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON,year,Champion
Utah Jazz,334,902,0.37,2,1996-97,1996-97,Utah Jazz
Utah Jazz,249,670,0.372,1,1997-98,1997-98,Utah Jazz
Los Angeles Lakers,344,1047,0.329,1,1999-00,1999-00,Los Angeles Lakers
Los Angeles Lakers,439,1275,0.344,2,2000-01,2000-01,Los Angeles Lakers
Los Angeles Lakers,510,1439,0.354,2,2001-02,2001-02,Los Angeles Lakers
San Antonio Spurs,449,1270,0.354,1,2002-03,2002-03,San Antonio Spurs
Los Angeles Lakers,365,1115,0.327,4,2003-04,2003-04,Los Angeles Lakers
San Antonio Spurs,507,1395,0.363,2,2004-05,2004-05,San Antonio Spurs
Dallas Mavericks,416,1113,0.374,3,2005-06,2005-06,Dallas Mavericks
San Antonio Spurs,595,1561,0.381,3,2006-07,2006-07,San Antonio Spurs
Los Angeles Lakers,662,1751,0.378,3,2007-08,2007-08,Los Angeles Lakers
Los Angeles Lakers,547,1516,0.361,2,2008-09,2008-09,Los Angeles Lakers
Los Angeles Lakers,532,1562,0.341,3,2009-10,2009-10,Los Angeles Lakers
Dallas Mavericks,645,1768,0.365,4,2010-11,2010-11,Dallas Mavericks
San Antonio Spurs,663,1764,0.376,3,2012-13,2012-13,San Antonio Spurs
San Antonio Spurs,698,1757,0.397,1,2013-14,2013-14,San Antonio Spurs
Golden State Warriors,883,2217,0.398,1,2014-15,2014-15,Golden State Warriors
Golden State Warriors,1077,2592,0.416,1,2015-16,2015-16,Golden State Warriors
Golden State Warriors,982,2562,0.383,1,2016-17,2016-17,Golden State Warriors
Golden State Warriors,926,2369,0.391,3,2017-18,2017-18,Golden State Warriors
Golden State Warriors,1087,2824,0.385,3,2018-19,2018-19,Golden State Warriors
Phoenix Suns,940,2490,0.378,2,2020-21,2020-21,Phoenix Suns
Golden State Warriors,1176,3231,0.364,3,2021-22,2021-22,Golden State Warriors
Denver Nuggets,969,2559,0.379,4,2022-23,2022-23,Denver Nuggets
Dallas Mavericks,1197,3242,0.369,6,2023-24,2023-24,Dallas Mavericks
