TEAM_NAME,FG3M,FG3A,FG3_PCT,W_RANK,SEASON
Atlanta Hawks,659,1833,0.36,7,1996-97
Boston Celtics,467,1331,0.351,28,1996-97
Charlotte Hornets,591,1382,0.428,9,1996-97
Chicago Bulls,523,1403,0.373,1,1996-97
Cleveland Cavaliers,483,1284,0.376,14,1996-97
Dallas Mavericks,429,1315,0.326,24,1996-97
Denver Nuggets,636,1711,0.372,26,1996-97
Detroit Pistons,582,1499,0.388,9,1996-97
Golden State Warriors,481,1363,0.353,21,1996-97
Houston Rockets,671,1839,0.365,4,1996-97
Indiana Pacers,430,1130,0.381,17,1996-97
Los Angeles Clippers,474,1339,0.354,18,1996-97
Los Angeles Lakers,551,1500,0.367,7,1996-97
Miami Heat,678,1865,0.364,3,1996-97
Milwaukee Bucks,324,920,0.352,20,1996-97
Minnesota Timberwolves,371,1093,0.339,15,1996-97
New Jersey Nets,484,1371,0.353,23,1996-97
New York Knicks,470,1294,0.363,4,1996-97
Orlando Magic,567,1662,0.341,12,1996-97
Philadelphia 76ers,433,1356,0.319,25,1996-97
Phoenix Suns,527,1428,0.369,15,1996-97
Portland Trail Blazers,501,1401,0.358,11,1996-97
Sacramento Kings,414,1058,0.391,19,1996-97
San Antonio Spurs,378,1180,0.32,27,1996-97
Seattle SuperSonics,559,1583,0.353,4,1996-97
Toronto Raptors,589,1624,0.363,21,1996-97
Utah Jazz,334,902,0.37,2,1996-97
Vancouver Grizzlies,445,1274,0.349,29,1996-97
Washington Bullets,331,1001,0.331,13,1996-97
Atlanta Hawks,337,1016,0.332,10,1997-98
Boston Celtics,415,1249,0.332,20,1997-98
Charlotte Hornets,346,904,0.383,9,1997-98
Chicago Bulls,311,962,0.323,1,1997-98
Cleveland Cavaliers,298,801,0.372,11,1997-98
Dallas Mavericks,422,1183,0.357,24,1997-98
Denver Nuggets,288,893,0.323,29,1997-98
Detroit Pistons,293,938,0.312,19,1997-98
Golden State Warriors,189,696,0.272,25,1997-98
Houston Rockets,573,1670,0.343,17,1997-98
Indiana Pacers,401,1029,0.39,5,1997-98
Los Angeles Clippers,525,1468,0.358,27,1997-98
Los Angeles Lakers,497,1415,0.351,3,1997-98
Miami Heat,548,1544,0.355,8,1997-98
Milwaukee Bucks,249,703,0.354,20,1997-98
Minnesota Timberwolves,303,873,0.347,13,1997-98
New Jersey Nets,310,937,0.331,14,1997-98
New York Knicks,382,1139,0.335,14,1997-98
Orlando Magic,293,907,0.323,17,1997-98
Philadelphia 76ers,243,810,0.3,22,1997-98
Phoenix Suns,431,1211,0.356,6,1997-98
Portland Trail Blazers,324,1047,0.309,12,1997-98
Sacramento Kings,283,806,0.351,23,1997-98
San Antonio Spurs,302,863,0.35,6,1997-98
Seattle SuperSonics,621,1571,0.395,3,1997-98
Toronto Raptors,372,1086,0.343,28,1997-98
Utah Jazz,249,670,0.372,1,1997-98
Vancouver Grizzlies,325,898,0.362,25,1997-98
Washington Wizards,320,944,0.339,16,1997-98
Atlanta Hawks,197,644,0.306,7,1998-99
Boston Celtics,273,758,0.36,22,1998-99
Charlotte Hornets,268,735,0.365,16,1998-99
Chicago Bulls,177,611,0.29,27,1998-99
Cleveland Cavaliers,182,534,0.341,20,1998-99
Dallas Mavericks,202,595,0.339,22,1998-99
Denver Nuggets,302,922,0.328,26,1998-99
Detroit Pistons,248,679,0.365,10,1998-99
Golden State Warriors,162,565,0.287,21,1998-99
Houston Rockets,336,914,0.368,7,1998-99
Indiana Pacers,294,799,0.368,4,1998-99
Los Angeles Clippers,214,668,0.32,28,1998-99
Los Angeles Lakers,241,685,0.352,7,1998-99
Miami Heat,289,804,0.359,4,1998-99
Milwaukee Bucks,231,619,0.373,11,1998-99
Minnesota Timberwolves,122,410,0.298,17,1998-99
New Jersey Nets,225,679,0.331,25,1998-99
New York Knicks,208,589,0.353,13,1998-99
Orlando Magic,223,675,0.33,4,1998-99
Philadelphia 76ers,98,371,0.264,11,1998-99
Phoenix Suns,261,702,0.372,13,1998-99
Portland Trail Blazers,246,675,0.364,3,1998-99
Sacramento Kings,290,943,0.308,13,1998-99
San Antonio Spurs,172,521,0.33,1,1998-99
Seattle SuperSonics,309,899,0.344,17,1998-99
Toronto Raptors,226,662,0.341,19,1998-99
Utah Jazz,140,388,0.361,1,1998-99
Vancouver Grizzlies,148,453,0.327,29,1998-99
