year,TEAM_NAME
1947,"Chicago Stags(1)(1, 0–1)"
1948,"Baltimore Bullets† (2)(1, 1–0)"
1949,"Minneapolis Lakers(2)(1, 1–0)"
1950,"Minneapolis Lakers(1)[b](2, 2–0)"
1951,"Rochester Royals(2)(1, 1–0)"
1952,"Minneapolis Lakers(2)(3, 3–0)"
1953,"Minneapolis Lakers(1)(4, 4–0)"
1954,"Minneapolis Lakers(1)(5, 5–0)"
1955,"Fort Wayne Pistons(1)(1, 0–1)"
1956,"Fort Wayne Pistons(1)(2, 0–2)"
1957,"St. Louis Hawks(1)(1, 0–1)"
1958,"St. Louis Hawks(1)(2, 1–1)"
1959,"Minneapolis Lakers(2)(6, 5–1)"
1960,"St. Louis Hawks(1)(3, 1–2)"
1961,"St. Louis Hawks(1)(4, 1–3)"
1962,"Los Angeles Lakers(1)(7, 5–2)"
1963,"Los Angeles Lakers(1)(8, 5–3)"
1964[c],"San Francisco Warriors(1)(4, 2–2)"
1965,"Los Angeles Lakers(1)(9, 5–4)"
1966,"Los Angeles Lakers(1)(10, 5–5)"
1967,"San Francisco Warriors(1)(5, 2–3)"
1968,"Los Angeles Lakers(2)(11, 5–6)"
1969,"Los Angeles Lakers(1)(12, 5–7)"
1970,"Los Angeles Lakers(2)(13, 5–8)"
1971,"Milwaukee Bucks(1)(1, 1–0)"
1972,"Los Angeles Lakers(1)(14, 6–8)"
1973,"Los Angeles Lakers(2)(15, 6–9)"
1974,"Milwaukee Bucks(1)(2, 1–1)"
1975,"Golden State Warriors(1)(6, 3–3)"
1976,"Phoenix Suns(3)(1, 0–1)"
1977[d],"Portland Trail Blazers(3)(1, 1–0)"
1978,"Seattle SuperSonics(4)(1, 0–1)"
1979,"Seattle SuperSonics(1)(2, 1–1)"
1980,"Los Angeles Lakers(1)(16, 7–9)"
1981,"Houston Rockets(6)(1, 0–1)"
1982,"Los Angeles Lakers(1)(17, 8–9)"
1983,"Los Angeles Lakers(1)(18, 8–10)"
1984[e],"Los Angeles Lakers(1)(19, 8–11)"
1985,"Los Angeles Lakers(1)(20, 9–11)"
1986,"Houston Rockets(2)(2, 0–2)"
1987,"Los Angeles Lakers(1)(21, 10–11)"
1988,"Los Angeles Lakers(1)(22, 11–11)"
1989,"Los Angeles Lakers(1)(23, 11–12)"
1990,"Portland Trail Blazers(3)(2, 1–1)"
1991,"Los Angeles Lakers(3)(24, 11–13)"
1992,"Portland Trail Blazers(1)(3, 1–2)"
1993,"Phoenix Suns(1)(2, 0–2)"
1994,"Houston Rockets(2)(3, 1–2)"
1995,"Houston Rockets(6)(4, 2–2)"
1996,"Seattle SuperSonics(1)(3, 1–2)"
1997,"Utah Jazz(1)(1, 0–1)"
1998,"Utah Jazz(1)(2, 0–2)"
1999[f],"San Antonio Spurs(1)(1, 1–0)"
2000,"Los Angeles Lakers(1)(25, 12–13)"
2001,"Los Angeles Lakers(2)(26, 13–13)"
2002,"Los Angeles Lakers(3)(27, 14–13)"
2003,"San Antonio Spurs(1)(2, 2–0)"
2004,"Los Angeles Lakers(2)(28, 14–14)"
2005,"San Antonio Spurs(2)(3, 3–0)"
2006,"Dallas Mavericks(4)(1, 0–1)"
2007,"San Antonio Spurs(3)(4, 4–0)"
2008,"Los Angeles Lakers(1)(29, 14–15)"
2009,"Los Angeles Lakers(1)(30, 15–15)"
2010,"Los Angeles Lakers(1)(31, 16–15)"
2011,"Dallas Mavericks(3)(2, 1–1)"
2012[g],"Oklahoma City Thunder(2)(4, 1–3)"
2013,"San Antonio Spurs(2)(5, 4–1)"
2014,"San Antonio Spurs(1)(6, 5–1)"
2015,"Golden State Warriors(1)(7, 4–3)"
2016,"Golden State Warriors(1)(8, 4–4)"
2017,"Golden State Warriors(1)(9, 5–4)"
2018,"Golden State Warriors(2)(10, 6–4)"
2019,"Golden State Warriors(1)(11, 6–5)"
2020[h],"Los Angeles Lakers(1)(32, 17–15)"
2021,"Phoenix Suns(2)(3, 0–3)"
2022,"Golden State Warriors(3)(12, 7–5)"
2023,"Denver Nuggets(1)(1, 1–0)"
2024,"Dallas Mavericks(5)(3, 1–2)"
